Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Hell	100	4	271	1	3	67	150	merc01	merc41	12500	120	779	30	644	22	110	10	163	16	998	36	2	23	25	6	115	5	bow		farw	75	Critical Strike	4	10	0	22	10	Exploding Arrow	4	69	0	20	10	Prayer	1	10	0	18	0																			2	1	2	0
Rogue Scout	Ice - Hell	100	5	271	1	3	67	150	merc01	merc41	14000	125	779	30	644	22	110	10	163	16	998	36	2	23	25	6	115	5	bow		carw	75	Critical Strike	4	10	0	20	10	Cold Arrow	4	69	0	20	10	Prayer	1	10	0	18	0																			2	1	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	1	7	14	4	18	8	pole	spea	comb	30	Jab	14	70	4	3	10	Prayer	1	10	0	3	7	Pole Arm Mastery	1	10	0	3	7																			2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	3	24	31	6	86	7	pole	spea	comb	30	Jab	14	104	4	14	10	Prayer	1	10	0	11	7	Pole Arm Mastery	1	10	0	11	7																			2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	comb	30	Jab	14	136	4	24	10	Prayer	1	10	0	18	0	Pole Arm Mastery	1	10	0	18	0																			2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	1	7	14	4	18	8	pole	spea	def	30	Jab	14	70	4	3	10	Defiance	1	10	0	3	7	Pole Arm Mastery	1	10	0	3	7																			2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	3	24	31	6	86	7	pole	spea	def	30	Jab	14	104	4	14	10	Defiance	1	10	0	11	7	Pole Arm Mastery	1	10	0	11	7																			2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	def	30	Jab	14	136	4	24	0	Defiance	1	10	0	18	0	Pole Arm Mastery	1	10	0	18	0																			2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	1	7	14	4	18	8	pole	spea	off	30	Jab	14	70	4	3	10	Blessed Aim	1	10	0	3	7	Pole Arm Mastery	1	10	0	3	7																			2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	3	24	31	6	86	7	pole	spea	off	30	Jab	14	104	4	14	10	Blessed Aim	1	10	0	11	7	Pole Arm Mastery	1	10	0	11	7																			2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	off	30	Jab	14	136	4	24	0	Blessed Aim	1	10	0	18	0	Pole Arm Mastery	1	10	0	18	0																			2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	43	198	merca201	merca221	7900	120	567	25	377	19	113	14	87	12	385	24	3	22	29	6	83	7	pole	spea	comb	30	Jab	14	120	4	13	10	Thorns	1	10	0	5	10	Pole Arm Mastery	1	10	0	11	7																			2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	75	198	merca201	merca221	7900	120	1367	40	985	28	169	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	comb	30	Jab	14	152	4	23	10	Thorns	1	10	0	15	0	Pole Arm Mastery	1	10	0	18	0																			2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	43	198	merca201	merca221	7900	120	567	25	377	19	113	14	87	12	385	24	3	22	29	6	83	7	pole	spea	def	30	Jab	14	120	4	13	10	Holy Freeze	1	10	0	6	10	Pole Arm Mastery	1	10	0	11	7																			2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	75	198	merca201	merca221	7900	120	1367	40	985	28	169	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	def	30	Jab	14	152	4	23	0	Holy Freeze	1	10	0	16	0	Pole Arm Mastery	1	10	0	18	0																			2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	43	198	merca201	merca221	7900	120	567	25	377	19	113	14	87	12	385	24	3	22	29	6	83	7	pole	spea	off	30	Jab	14	120	4	13	10	Might	1	10	0	7	8	Pole Arm Mastery	1	10	0	11	7																			2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	75	198	merca201	merca221	7900	120	1367	40	985	28	169	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	off	30	Jab	14	152	4	23	0	Might	1	10	0	15	8	Pole Arm Mastery	1	10	0	18	0																			2	2	2	0
Desert Mercenary	Comb-Hell	100	12	338	2	3	75	198	merca201	merca221	15000	130	1230	40	887	28	165	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	comb	30	Jab	14	104	4	22	10	Prayer	1	10	0	16	0	Pole Arm Mastery	1	10	0	18	0																			2	2	2	0
Desert Mercenary	Def-Hell	100	13	338	2	3	75	198	merca201	merca221	15000	130	1230	40	887	28	165	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	def	30	Jab	14	104	4	22	0	Defiance	1	10	0	16	0	Pole Arm Mastery	1	10	0	18	0																			2	2	2	0
Desert Mercenary	Off-Hell	100	14	338	2	3	75	198	merca201	merca221	15000	130	1230	40	887	28	165	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	off	30	Jab	14	104	4	22	0	Blessed Aim	1	10	0	16	0	Pole Arm Mastery	1	10	0	18	0																			2	2	2	0
Eastern Sorceror	Fire-Normal	100	15	359	3	1	15	252	merca222	merca241	1000	110	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	fire	10	Inferno	7	60	0	6	10	Fire Ball	7	30	0	4	10																									2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	49	252	merca222	merca241	1000	110	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	fire	10	Inferno	7	60	0	17	10	Fire Ball	7	30	0	15	10																									2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	79	252	merca222	merca241	1000	110	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	6	swor	shie	fire	10	Inferno	7	60	0	27	10	Fire Ball	7	30	0	25	10																									2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	15	252	merca222	merca241	1500	120	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	cold	10	Glacial Spike	7	60	0	1	5	Frozen Armor	7	1000	0	2	10	Ice Blast	7	240	0	6	10																			2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	49	252	merca222	merca241	1500	120	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	cold	10	Glacial Spike	7	60	0	7	5	Frozen Armor	7	1000	0	13	10	Ice Blast	7	240	0	17	10																			2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	79	252	merca222	merca241	1500	120	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	cold	10	Glacial Spike	7	60	0	12	5	Frozen Armor	7	1000	0	23	10	Ice Blast	7	240	0	27	10																			2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	15	252	merca222	merca241	1000	110	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	ltng	10	Charged Bolt	7	60	0	4	5	Lightning	7	30	0	3	10																									2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	49	252	merca222	merca241	1000	110	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	ltng	10	Charged Bolt	7	60	0	10	5	Lightning	7	30	0	14	10																									2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	79	252	merca222	merca241	1000	110	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	ltng	10	Charged Bolt	7	60	0	15	5	Lightning	7	30	0	24	10																									2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	49	252	merca222	merca241	9500	120	419	18	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	fire	10	Inferno	7	60	0	16	10	Fire Ball	7	30	0	14	10																									2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	79	252	merca222	merca241	9500	120	959	27	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	fire	10	Inferno	7	60	0	26	10	Fire Ball	7	30	0	24	10																									2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	49	252	merca222	merca241	12000	130	419	18	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	cold	10	Glacial Spike	7	60	0	6	5	Frozen Armor	7	1000	0	12	10	Ice Blast	7	240	0	16	10																			2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	79	252	merca222	merca241	12000	130	959	27	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	cold	10	Glacial Spike	7	60	0	11	5	Frozen Armor	7	1000	0	22	10	Ice Blast	7	240	0	26	10																			2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	49	252	merca222	merca241	10000	120	419	18	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	ltng	10	Charged Bolt	7	60	0	9	5	Lightning	7	30	0	13	10																									2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	79	252	merca222	merca241	10000	120	959	27	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	ltng	10	Charged Bolt	7	60	0	14	5	Lightning	7	30	0	23	10																									2	2	2	1
Eastern Sorceror	Fire-Hell	100	21	359	3	3	79	252	merca222	merca241	21000	130	863	27	554	25	122	10	96	8	991	36	5	29	35	4	132	4	swor	shie	fire	10	Inferno	7	60	0	25	10	Fire Ball	7	30	0	23	10																									2	2	2	1
Eastern Sorceror	Cold-Hell	100	22	359	3	3	79	252	merca222	merca241	27000	140	863	27	554	25	122	10	96	8	991	36	5	29	35	4	132	4	swor	shie	cold	10	Glacial Spike	7	60	0	10	5	Frozen Armor	7	1000	0	21	10	Ice Blast	7	240	0	25	10																			2	2	2	1
Eastern Sorceror	Ltng-Hell	100	23	359	3	3	79	252	merca222	merca241	21000	130	863	27	554	25	122	10	96	8	991	36	5	29	36	4	132	4	swor	shie	ltng	10	Charged Bolt	7	60	0	13	5	Lightning	7	30	0	22	10																									2	2	2	1
Barbarian	1hs-Normal	100	24	561	5	1	28	515	MercX101	MercX167	9000	120	288	18	180	10	101	15	63	10	150	20	1	16	20	6	56	7	swor			50	Bash	5	15	0	4	10	Stun	5	15	0	3	8																									0	0	0	0
Barbarian	1hs-Normal	100	24	561	5	1	58	515	MercX101	MercX167	9000	120	828	27	480	35	158	15	101	10	750	35	1	39	43	8	109	7	swor			50	Bash	5	50	0	14	10	Stun	5	50	0	11	8																									0	0	0	0
Barbarian	1hs-Normal	100	24	561	5	1	80	515	MercX101	MercX167	9000	120	1422	45	1250	50	200	15	129	10	1520	45	1	61	65	8	148	4	swor			50	Bash	5	75	0	21	0	Stun	5	75	0	17	0																									0	0	0	0
Barbarian	1hs-Normal	100	25	561	5	1	28	515	MercX101	MercX167	9000	120	288	18	180	10	101	15	63	10	150	20	1	16	20	6	56	7	swor			50	Bash	5	15	0	4	10	Stun	5	15	0	3	8																									0	0	0	0
Barbarian	1hs-Normal	100	25	561	5	1	58	515	MercX101	MercX167	9000	120	828	27	480	35	158	15	101	10	750	35	1	39	43	8	109	7	swor			50	Bash	5	50	0	14	10	Stun	5	50	0	11	8																									0	0	0	0
Barbarian	1hs-Normal	100	25	561	5	1	80	515	MercX101	MercX167	9000	120	1422	45	1250	50	200	15	129	10	1520	45	1	61	65	8	148	4	swor			50	Bash	5	75	0	21	0	Stun	5	75	0	17	0																									0	0	0	0
Barbarian	1hs-Nightmare	100	26	561	5	2	58	515	MercX101	MercX167	18000	130	745	27	432	35	155	15	96	10	675	35	4	37	41	8	106	7	swor			50	Bash	5	50	0	13	10	Stun	5	50	0	10	8																									0	0	0	0
Barbarian	1hs-Nightmare	100	26	561	5	2	80	515	MercX101	MercX167	18000	130	1339	45	1202	50	197	15	124	10	1445	45	4	59	63	8	145	4	swor			50	Bash	5	75	0	20	0	Stun	5	75	0	16	0																									0	0	0	0
Barbarian	1hs-Nightmare	100	27	561	5	2	58	515	MercX101	MercX167	18000	130	745	27	432	35	155	15	96	10	675	35	4	37	41	8	106	7	swor			50	Bash	5	50	0	13	10	Stun	5	50	0	10	8																									0	0	0	0
Barbarian	1hs-Nightmare	100	27	561	5	2	80	515	MercX101	MercX167	18000	130	1339	45	1202	50	197	15	124	10	1445	45	4	59	63	8	145	4	swor			50	Bash	5	75	0	20	0	Stun	5	75	0	16	0																									0	0	0	0
Barbarian	1hs-Hell	100	28	561	5	3	80	515	MercX101	MercX167	32000	140	1205	45	1082	50	194	15	119	10	1301	45	6	57	61	8	142	4	swor			50	Bash	5	70	0	19	0	Stun	5	70	0	15	0																									0	0	0	0
Barbarian	1hs-Hell	100	29	561	5	3	80	515	MercX101	MercX167	32000	140	1205	45	1082	50	194	15	119	10	1301	45	6	57	61	8	142	4	swor			50	Bash	5	70	0	19	0	Stun	5	70	0	15	0																									0	0	0	0
